Date,Open,High,Low,Close,Volume
02/15/2024,"25.08","25.59","24.83","25.40","93,771"
02/14/2024,"24.84","25.05","24.53","24.86","67,079"
02/13/2024,"24.43","24.73","24.28","24.32","104,304"
02/12/2024,"24.55","25.50","24.55","25.30","73,407"
02/09/2024,"23.62","24.58","23.62","24.35","85,027"
02/08/2024,"23.12","23.66","22.96","23.53","81,200"
02/07/2024,"23.84","23.84","23.00","23.12","59,301"
02/06/2024,"23.98","24.28","23.73","23.82","98,244"
02/05/2024,"24.66","24.66","24.07","24.09","62,619"
02/02/2024,"24.72","24.91","24.50","24.80","72,166"
02/01/2024,"24.74","25.34","24.51","25.22","73,689"
01/31/2024,"25.17","25.46","24.48","24.71","101,869"
01/30/2024,"25.17","25.48","24.99","25.22","60,545"
01/29/2024,"25.30","25.48","24.80","25.38","124,793"
01/26/2024,"25.33","25.64","25.11","25.31","156,362"
01/25/2024,"24.69","25.25","24.52","25.17","99,352"
01/24/2024,"24.77","24.91","24.09","24.22","65,554"
01/23/2024,"24.87","25.00","24.17","24.70","96,808"
01/22/2024,"23.55","24.59","23.50","24.56","87,934"
01/19/2024,"23.33","23.45","22.84","23.41","112,509"
01/18/2024,"23.38","23.44","22.91","23.20","78,404"
01/17/2024,"23.15","23.46","23.05","23.25","68,823"
01/16/2024,"23.84","24.02","23.45","23.56","69,932"
01/12/2024,"24.10","24.15","23.72","23.90","75,597"
01/11/2024,"24.11","24.26","23.46","23.73","115,727"
01/10/2024,"24.28","24.57","24.17","24.28","72,785"
01/09/2024,"24.37","24.54","24.21","24.49","65,847"
01/08/2024,"24.84","25.22","24.44","24.70","131,064"
01/05/2024,"24.14","25.16","24.02","24.70","194,521"
01/04/2024,"24.48","24.56","24.16","24.37","70,754"
01/03/2024,"25.01","25.01","24.24","24.37","110,041"
01/02/2024,"25.17","25.44","25.01","25.11","59,925"
